taxon,patient,tisssue,stool
firmicutes,1,632,305
firmicutes,2,136,4182
firmicutes,3,1174,703
firmicutes,4,408,3946
firmicutes,5,831,8605
firmicutes,6,693,50
firmicutes,7,718,717
firmicutes,8,173,33
firmicutes,9,228,80
firmicutes,10,162,3196
firmicutes,11,372,32
firmicutes,12,4255,4361
